Opcode;Value;Addressing;Example;Cycles;Comment
LDA;$BD;Absolute,X;LDA $1234,X;4*;
LDX;$BE;Absolute,Y;LDX $1234,Y;4*;
NOP;$BF;Zeropage Relative;NOP $12,$1234;?;
CPY;$C0;Immediate;CPY #$12;2;
CMP;$C1;(Indirect,X);CMP ($12,X);6;
NOP;$C2;Immediate;NOP #$12;?;
NOP;$C3;(Indirect,X);NOP ($12,X);?;
CPY;$C4;Zeropage;CPY $12;3;
CMP;$C5;Zeropage;CMP $12;3;
DEC;$C6;Zeropage;DEC $12;5;
NOP;$C7;Zeropage;NOP $12;?;
INY;$C8;Implied;INY;2;
CMP;$C9;Immediate;CMP #$12;2;
DEX;$CA;Implied;DEX;2;
NOP;$CB;Implied;NOP;?;
CPY;$CC;Absolute;CPY $1234;4;
CMP;$CD;Absolute;CMP $1234;4;
DEC;$CE;Absolute;DEC $1234;6;
NOP;$CF;Zeropage Relative;NOP $12,$1234;?;
BNE;$D0;Relative;BNE $1234;2*;
CMP;$D1;(Indirect),Y;CMP ($12),Y;5*;
JAM;$D2;Implied;JAM;1;
NOP;$D3;(Indirect),Y;NOP ($12),Y;?;
NOP;$D4;Zeropage,X;NOP $12,X;?;
CMP;$D5;Zeropage,X;CMP $12,X;4;
DEC;$D6;Zeropage,X;DEC $12,X;6;
NOP;$D7;Zeropage;NOP $12;?;
CLD;$D8;Implied;CLD;2;
CMP;$D9;Absolute,Y;CMP $1234,Y;4*;
PHX;$DA;Implied;PHX;?;
NOP;$DB;Implied;NOP;?;
NOP;$DC;Absolute,X;NOP $1234,X;?;
CMP;$DD;Absolute,X;CMP $1234,X;4*;
DEC;$DE;Absolute,X;DEC $1234,X;7;
NOP;$DF;Zeropage Relative;NOP $12,$1234;?;
CPX;$E0;Immediate;CPX #$12;2;
SBC;$E1;(Indirect,X);SBC ($12,X);6;
NOP;$E2;Immediate;NOP #$12;?;
NOP;$E3;(Indirect,X);NOP ($12,X);?;
CPX;$E4;Zeropage;CPX $12;3;
SBC;$E5;Zeropage;SBC $12;3;
INC;$E6;Zeropage;INC $12;5;
NOP;$E7;Zeropage;NOP $12;?;
INX;$E8;Implied;INX;2;
SBC;$E9;Immediate;SBC #$12;2;
NOP;$EA;Implied;NOP;2;
NOP;$EB;Immediate;NOP #$12;?;
CPX;$EC;Absolute;CPX $1234;4;
SBC;$ED;Absolute;SBC $1234;4;
INC;$EE;Absolute;INC $1234;6;
NOP;$EF;Zeropage Relative;NOP $12,$1234;?;
BEQ;$F0;Relative;BEQ $1234;2*;
SBC;$F1;(Indirect),Y;SBC ($12),Y;5*;
JAM;$F2;Implied;JAM;1;
NOP;$F3;(Indirect),Y;NOP ($12),Y;?;
NOP;$F4;Zeropage,X;NOP $12,X;?;
SBC;$F5;Zeropage,X;SBC $12,X;4;
INC;$F6;Zeropage,X;INC $12,X;6;
NOP;$F7;Zeropage;NOP $12;?;
SED;$F8;Implied;SED;2;
SBC;$F9;Absolute,Y;SBC $1234,Y;4*;
PLX;$FA;Implied;PLX;?;
NOP;$FB;Absolute,Y;NOP $1234,Y;?;
NOP;$FC;Absolute,X;NOP $1234,X;?;
SBC;$FD;Absolute,X;SBC $1234,X;4*;
INC;$FE;Absolute,X;INC $1234,X;7;
NOP;$FF;Zeropage Relative;NOP $12,$1234;?;
