Opcode;Value;Addressing;Example;Cycles;Comment
CPY;$C0;Immediate;CPY #$12;2;
CMP;$C1;(Indirect,X);CMP ($12,X);6;
NOP;$C2;Immediate;NOP #$12;2;Illegal
DCP;$C3;(Indirect,X);DCP ($12,X);8;Illegal
CPY;$C4;Zeropage;CPY $12;3;
CMP;$C5;Zeropage;CMP $12;3;
DEC;$C6;Zeropage;DEC $12;5;
DCP;$C7;Zeropage;DCP $12;5;Illegal
INY;$C8;Implied;INY;2;
CMP;$C9;Immediate;CMP #$12;2;
DEX;$CA;Implied;DEX;2;
SBX;$CB;Immediate;SBC #$12;2;Illegal
CPY;$CC;Absolute;CPY $1234;4;
CMP;$CD;Absolute;CMP $1234;4;
DEC;$CE;Absolute;DEC $1234;6;
DCP;$CF;Absolute;DCP $1234;6;Illegal
BNE;$D0;Relative;BNE $1234;2*;
CMP;$D1;(Indirect),Y;CMP ($12),Y;5*;
JAM;$D2;Implied;JAM;1;
DCP;$D3;(Indirect),Y;DCP ($12),Y;8;Illegal
NOP;$D4;Zeropage,X;NOP $12,X;4;Illegal
CMP;$D5;Zeropage,X;CMP $12,X;4;
DEC;$D6;Zeropage,X;DEC $12,X;6;
DCP;$D7;Zeropage,X;DCP $12,X;6;Illegal
CLD;$D8;Implied;CLD;2;
CMP;$D9;Absolute,Y;CMP $1234,Y;4*;
NOP;$DA;Implied;NOP;2;Illegal
DCP;$DB;Absolute,Y;DCP $1234,Y;7;Illegal
NOP;$DC;Absolute,X;NOP $1234,X;4*;Illegal
CMP;$DD;Absolute,X;CMP $1234,X;4*;
DEC;$DE;Absolute,X;DEC $1234,X;7;
DCP;$DF;Absolute,X;DCP $1234,X;7;Illegal
CPX;$E0;Immediate;CPX #$12;2;
SBC;$E1;(Indirect,X);SBC ($12,X);6;
NOP;$E2;Immediate;NOP #$12;2;Illegal
ISB;$E3;(Indirect,X);ISB ($12,X);8;Illegal
CPX;$E4;Zeropage;CPX $12;3;
SBC;$E5;Zeropage;SBC $12;3;
INC;$E6;Zeropage;INC $12;5;
ISB;$E7;Zeropage;ISB $12;5;Illegal
INX;$E8;Implied;INX;2;
SBC;$E9;Immediate;SBC #$12;2;
NOP;$EA;Implied;NOP;2;
SBC;$EB;Immediate;SBC #$12;2;Illegal
CPX;$EC;Absolute;CPX $1234;4;
SBC;$ED;Absolute;SBC $1234;4;
INC;$EE;Absolute;INC $1234;6;
ISB;$EF;Absolute;ISB $1234;6;Illegal
BEQ;$F0;Relative;BEQ $1234;2*;
SBC;$F1;(Indirect),Y;SBC ($12),Y;5*;
JAM;$F2;Implied;JAM;1;
ISB;$F3;(Indirect),Y;ISB ($12),Y;8;Illegal
NOP;$F4;Zeropage,X;NOP $12,X;4;Illegal
SBC;$F5;Zeropage,X;SBC $12,X;4;
INC;$F6;Zeropage,X;INC $12,X;6;
ISB;$F7;Zeropage,X;ISB $12,X;6;Illegal
SED;$F8;Implied;SED;2;
SBC;$F9;Absolute,Y;SBC $1234,Y;4*;
NOP;$FA;Implied;NOP;2;Illegal
ISB;$FB;Absolute,Y;ISB $1234,Y;7;Illegal
NOP;$FC;Absolute,X;NOP $1234,X;4*;Illegal
SBC;$FD;Absolute,X;SBC $1234,X;4*;
INC;$FE;Absolute,X;INC $1234,X;7;
ISB;$FF;Absolute,X;ISB $1234,X;7;Illegal
