Opcode	Value	Addressing	Example	Cycles	Comment
CPX	$E4	Zeropage	CPX $12	3	
SBC	$E5	Zeropage	SBC $12	3	
SBCQ	$E5	Zeropage	SBCQ $12	3	
INC	$E6	Zeropage	INC $12	5	
INQ	$E6	Zeropage	INQ $12	5	
SMB6	$E7	Zeropage	SMB6 $12	5	
INX	$E8	Implied	INX	2	
SBC	$E9	Immediate	SBC #$12	2	
EOM	$EA	Implied	EOM	2	NOP
ROW	$EB	Absolute	ROW $1234	7	
CPX	$EC	Absolute	CPX $1234	4	
SBC	$ED	Absolute	SBC $1234	4	
SBCQ	$ED	Absolute	SBCQ $1234	4*	
INC	$EE	Absolute	INC $1234	6	
INQ	$EE	Absolute	INQ $1234	5	
BBS6	$EF	Zeropage Relative	BBS6 $12,$1234	2*	
BEQ	$F0	Relative	BEQ $1234	2*	
SBC	$F1	(Indirect),Y	SBC ($12),Y	5*	
SBC	$F2	(Indirect),Z	SBC ($12),Z	5	
SBC	$F2	(Indirect),Z	SBC [$12],Z	5	long mode
SBCQ	$F2	Zeropage Indirect	SBCQ ($12)	5	
SBCQ	$F2	Zeropage Indirect	SBCQ [$12]	5	long mode
LBEQ	$F3	Relative 16bit	LBEQ $1234	3*	
PHW	$F4	Immediate Word	PHW	4	
SBC	$F5	Zeropage,X	SBC $12,X	4	
INC	$F6	Zeropage,X	INC $12,X	6	
INQ	$F6	Zeropage,X	INQ $12,X	6	
SMB7	$F7	Zeropage	SMB7 $12	5	
SED	$F8	Implied	SED	2	
SBC	$F9	Absolute,Y	SBC $1234,Y	4*	
PLX	$FA	Implied	PLX	4	
PLZ	$FB	Implied	PLZ	4	
PHW	$FC	Absolute	PHW	4	
SBC	$FD	Absolute,X	SBC $1234,X	4*	
INC	$FE	Absolute,X	INC $1234,X	7	
INQ	$FE	Absolute,X	INQ $1234,X	7	
BBS7	$FF	Zeropage Relative	BBS7 $12,$1234	2*	
